team_id,player_id,starter_probability,as_of_utc,source,season,needs_human_review,player_name,rank,source_manifest_hash,origin,qb_review_status
CIN,00-0036442,0.8762886597938144,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Joe Burrow,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
CIN,00-0035100,0.1237113402061855,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jake Browning,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
CLE,00-0031503,0.8415841584158416,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jameis Winston,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
CLE,00-0033537,0.1188118811881188,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Deshaun Watson,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
CLE,00-0038583,0.0297029702970297,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Dorian Thompson-Robinson,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
CLE,00-0038108,0.0099009900990099,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Bailey Zappe,4.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
DAL,00-0033662,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Cooper Rush,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
DAL,00-0033077,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Dak Prescott,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
DAL,00-0037012,0.03,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Trey Lance,3.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
DEN,00-0039732,0.85,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Bo Nix,1.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
DEN,00-0035264,0.12,2026-08-01T00:00:00Z,depth_chart_rank,2026,True,Jarrett Stidham,2.0,daec211cfe940ff0b8c175d9b16010e7,generated,OK
