coach_id,unit,residual_value,games,season,team_id,source_manifest_hash
Mike Tomlin,offense,0.026178545622461268,17,2022,PIT,daec211cfe940ff0b8c175d9b16010e7
Kyle Shanahan,offense,0.09142823670849384,20,2022,SF,daec211cfe940ff0b8c175d9b16010e7
Nathaniel Hackett,offense,-0.09434091830572917,15,2022,DEN,daec211cfe940ff0b8c175d9b16010e7
Josh McDaniels,offense,0.01481759635977737,17,2022,LV,daec211cfe940ff0b8c175d9b16010e7
Matt LaFleur,offense,0.01751324001487333,17,2022,GB,daec211cfe940ff0b8c175d9b16010e7
Sean McDermott,offense,0.10786870739434883,18,2022,BUF,daec211cfe940ff0b8c175d9b16010e7
Nick Sirianni,offense,0.13512390561227994,20,2022,PHI,daec211cfe940ff0b8c175d9b16010e7
Frank Reich,offense,-0.1536483033802603,9,2022,IND,daec211cfe940ff0b8c175d9b16010e7
Bill Belichick,offense,-0.039573026744858325,17,2022,NE,daec211cfe940ff0b8c175d9b16010e7
Todd Bowles,offense,-0.024306503739360434,18,2022,TB,daec211cfe940ff0b8c175d9b16010e7
Steve Wilks,offense,-0.02009721128943731,12,2022,CAR,daec211cfe940ff0b8c175d9b16010e7
Jeff Saturday,offense,-0.1536483033802603,8,2022,IND,daec211cfe940ff0b8c175d9b16010e7
Jay Rosburg,offense,-0.09434091830572917,2,2022,DEN,daec211cfe940ff0b8c175d9b16010e7
Andy Reid,offense,0.0690970301153901,21,2023,KC,daec211cfe940ff0b8c175d9b16010e7
Arthur Smith,offense,-0.05773640753745273,17,2023,ATL,daec211cfe940ff0b8c175d9b16010e7
John Harbaugh,offense,0.10397932110730634,19,2023,BAL,daec211cfe940ff0b8c175d9b16010e7
Kevin Stefanski,offense,-0.10911333706024529,18,2023,CLE,daec211cfe940ff0b8c175d9b16010e7
Shane Steichen,offense,0.005660505467963629,17,2023,IND,daec211cfe940ff0b8c175d9b16010e7
Kevin O'Connell,offense,0.0005428981854692719,17,2023,MIN,daec211cfe940ff0b8c175d9b16010e7
Dennis Allen,offense,0.027525986990306516,17,2023,NO,daec211cfe940ff0b8c175d9b16010e7
