team_id,player_id,starter_probability,as_of_utc,source,season,needs_human_review,source_manifest_hash
CAR,00-0027939,0.20980091883614088,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
CAR,00-0033275,0.11179173047473201,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
CAR,00-0034869,0.6768759571209801,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
CAR,00-0033275,0.23014256619144602,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
CAR,00-0034855,0.46028513238289204,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
CAR,00-0034869,0.29938900203665986,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
CAR,00-0039150,0.9047619047619048,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
CAR,00-0027973,0.28717948717948716,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
CAR,00-0039150,0.7076923076923077,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
CAR,00-0039150,0.924114671163575,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
CHI,00-0029567,0.4852941176470588,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
CHI,00-0033869,0.5088235294117647,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
CHI,00-0027973,0.4259567387687188,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
CHI,00-0036945,0.5058236272878536,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
CHI,00-0036945,0.8587699316628702,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
CHI,00-0036945,0.734982332155477,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
CHI,00-0038416,0.26325088339222613,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
CHI,00-0039918,0.99375,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
CHI,00-0039918,0.9913294797687862,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0032434,0.2380191693290735,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0036442,0.6916932907348243,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0036442,0.9481865284974094,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0036442,0.990990990990991,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0035100,0.4030075187969925,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0036442,0.5834586466165413,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0036442,1.0,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0026158,0.38995568685376664,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0035100,0.19793205317577547,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
CIN,00-0036442,0.41063515509601184,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0034855,0.9747899159663865,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0028986,0.13532513181019332,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0034855,0.81195079086116,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0033119,0.6741379310344827,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0033537,0.32413793103448274,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0026158,0.3668061366806137,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0033275,0.16875871687587168,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0033537,0.2608089260808926,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0038583,0.16317991631799164,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0031503,0.444141689373297,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0033537,0.3405994550408719,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0038583,0.17166212534059946,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0026158,0.27586206896551724,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0040668,0.38587848932676516,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
CLE,00-0040704,0.33497536945812806,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
DAL,00-0027973,0.5234604105571847,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
DAL,00-0033077,0.3416422287390029,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
DAL,00-0033077,0.9249658935879945,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
DAL,00-0033077,0.7419847328244275,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
DAL,00-0033662,0.2564885496183206,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
DAL,00-0033077,0.9639389736477115,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
DAL,00-0033077,0.45481481481481484,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
DAL,00-0033662,0.47555555555555556,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
DAL,00-0033077,0.963302752293578,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0032436,0.12859560067681894,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0035704,0.7851099830795262,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0031237,0.7890222984562607,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0035704,0.20411663807890223,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0029263,0.8485804416403786,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0034955,0.15141955835962145,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0029263,0.8705673758865248,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0035264,0.12943262411347517,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0039732,0.9935379644588045,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
DEN,00-0039732,0.95,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
DET,00-0026498,0.9080645161290323,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
DET,00-0033106,0.8396825396825397,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
DET,00-0034177,0.15079365079365079,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
DET,00-0033106,0.9967320261437909,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
DET,00-0033106,0.9973544973544973,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
DET,00-0033106,0.9727564102564102,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
DET,00-0033106,0.9919224555735057,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
GB,00-0023459,0.9968553459119497,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
GB,00-0023459,0.8996960486322189,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
GB,00-0036264,0.10030395136778116,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
GB,00-0023459,0.9663865546218487,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
GB,00-0036264,0.9955089820359282,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
GB,00-0036264,0.8833333333333333,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
GB,00-0038128,0.11666666666666667,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
GB,00-0036264,0.8975265017667845,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
HOU,00-0033537,0.9949832775919732,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
HOU,00-0028118,0.2755102040816326,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
HOU,00-0036898,0.7210884353741497,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
HOU,00-0034577,0.13709677419354838,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
HOU,00-0036898,0.8241935483870968,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
HOU,00-0039163,0.8509406657018813,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
HOU,00-0039163,0.9424460431654677,2025-02-15T00:00:00Z,historical_dropback_share,2024,False,daec211cfe940ff0b8c175d9b16010e7
HOU,00-0036898,0.24142857142857144,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
HOU,00-0039163,0.7585714285714286,2026-02-15T00:00:00Z,historical_dropback_share,2025,False,daec211cfe940ff0b8c175d9b16010e7
IND,00-0022942,0.9822294022617124,2021-02-15T00:00:00Z,historical_dropback_share,2020,False,daec211cfe940ff0b8c175d9b16010e7
IND,00-0032950,0.9910233393177738,2022-02-15T00:00:00Z,historical_dropback_share,2021,False,daec211cfe940ff0b8c175d9b16010e7
IND,00-0026143,0.7526236881559221,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
IND,00-0036879,0.1724137931034483,2023-02-15T00:00:00Z,historical_dropback_share,2022,False,daec211cfe940ff0b8c175d9b16010e7
IND,00-0035289,0.85,2024-02-15T00:00:00Z,historical_dropback_share,2023,False,daec211cfe940ff0b8c175d9b16010e7
