bucket_center,margin,empirical_count,baseline_probability,shrinkage_weight,probability
-20.0,-75,0,6.165044754749827e-14,0.047619047619047616,6.165044754749827e-14
-20.0,-74,0,4.9426177652459683e-14,0.047619047619047616,4.942617765245969e-14
-20.0,-73,0,8.784472691963125e-14,0.047619047619047616,8.784472691963126e-14
-20.0,-72,0,1.5516834855281659e-13,0.047619047619047616,1.551683485528166e-13
-20.0,-71,0,2.7240768092298595e-13,0.047619047619047616,2.72407680922986e-13
-20.0,-70,0,4.752961872785203e-13,0.047619047619047616,4.752961872785203e-13
-20.0,-69,0,8.242103863730343e-13,0.047619047619047616,8.242103863730344e-13
-20.0,-68,0,1.4204979360104027e-12,0.047619047619047616,1.4204979360104029e-12
-20.0,-67,0,2.4331669173824324e-12,0.047619047619047616,2.4331669173824324e-12
-20.0,-66,0,4.142208649474042e-12,0.047619047619047616,4.142208649474042e-12
-20.0,-65,0,7.008431166251447e-12,0.047619047619047616,7.008431166251448e-12
-20.0,-64,0,1.1785239875286148e-11,0.047619047619047616,1.178523987528615e-11
-20.0,-63,0,1.9696307435842125e-11,0.047619047619047616,1.9696307435842125e-11
-20.0,-62,0,3.271598319747398e-11,0.047619047619047616,3.2715983197473983e-11
-20.0,-61,0,5.400872351982657e-11,0.047619047619047616,5.4008723519826575e-11
-20.0,-60,0,8.861283361152325e-11,0.047619047619047616,8.861283361152325e-11
-20.0,-59,0,1.4449676065905097e-10,0.047619047619047616,1.44496760659051e-10
-20.0,-58,0,2.341792299733926e-10,0.047619047619047616,2.341792299733926e-10
-20.0,-57,0,3.771962897728685e-10,0.047619047619047616,3.771962897728686e-10
-20.0,-56,0,6.038307523707751e-10,0.047619047619047616,6.038307523707752e-10
-20.0,-55,0,9.607089118463627e-10,0.047619047619047616,9.607089118463627e-10
-20.0,-54,0,1.51913786466446e-09,0.047619047619047616,1.5191378646644603e-09
-20.0,-53,0,2.3874337869756015e-09,0.047619047619047616,2.3874337869756015e-09
-20.0,-52,0,3.729016120094217e-09,0.047619047619047616,3.729016120094217e-09
-20.0,-51,0,5.788765598340045e-09,0.047619047619047616,5.788765598340046e-09
-20.0,-50,0,8.931130731824367e-09,0.047619047619047616,8.931130731824367e-09
-20.0,-49,0,1.3694800434078065e-08,0.047619047619047616,1.3694800434078067e-08
-20.0,-48,0,2.0870543017466533e-08,0.047619047619047616,2.0870543017466536e-08
-20.0,-47,0,3.1611169946892965e-08,0.047619047619047616,3.161116994689297e-08
-20.0,-46,0,4.7585668037032386e-08,0.047619047619047616,4.758566803703239e-08
-20.0,-45,0,7.119353408672376e-08,0.047619047619047616,7.119353408672377e-08
-20.0,-44,0,1.0586044480358984e-07,0.047619047619047616,1.0586044480358985e-07
-20.0,-43,0,1.5644282800567663e-07,0.047619047619047616,1.5644282800567666e-07
-20.0,-42,0,2.2977690912865948e-07,0.047619047619047616,2.2977690912865953e-07
-20.0,-41,0,3.3541763322498583e-07,0.047619047619047616,3.3541763322498583e-07
-20.0,-40,0,4.866247339416607e-07,0.047619047619047616,4.866247339416608e-07
-20.0,-39,0,7.016673217103961e-07,0.047619047619047616,7.016673217103962e-07
-20.0,-38,0,1.00553479960584e-06,0.047619047619047616,1.00553479960584e-06
-20.0,-37,0,1.4321606693313254e-06,0.047619047619047616,1.4321606693313256e-06
-20.0,-36,0,2.0272866645513803e-06,0.047619047619047616,2.0272866645513807e-06
-20.0,-35,0,2.8521172028175576e-06,0.047619047619047616,2.852117202817558e-06
-20.0,-34,0,3.9879376219668665e-06,0.047619047619047616,3.987937621966867e-06
-20.0,-33,0,5.541892909527501e-06,0.047619047619047616,5.5418929095275015e-06
-20.0,-32,0,7.654145022632763e-06,0.047619047619047616,7.654145022632763e-06
-20.0,-31,0,1.0506644274429699e-05,0.047619047619047616,1.05066442744297e-05
-20.0,-30,0,1.4333760892559524e-05,0.047619047619047616,1.4333760892559524e-05
-20.0,-29,0,1.943502340101474e-05,0.047619047619047616,1.943502340101474e-05
