segment,market,market_source,n,model_brier,market_brier,brier_gain_vs_market,model_log_loss,market_log_loss,log_loss_gain_vs_market,model_ece,market_ece,pick_accuracy,pick_accuracy_ci_lower,pick_accuracy_ci_upper,breakeven,beats_breakeven_ci
pooled,home_win,REFERENCE-LINE PROXY,854,0.22965077650666169,0.21025048486607184,-0.019400291640589845,0.6498350903985769,0.6085160081876457,-0.04131908221093117,0.024681480505479088,0.043310637517688544,0.6030444964871194,0.5702576112412178,0.6358313817330211,0.524,True
pooled,home_cover,REFERENCE-LINE PROXY,854,0.2501876790807517,0.25,-0.00018767908075167927,0.6935922344300405,0.6931471805599453,-0.00044505387009519115,0.012428947525727655,0.012880562060889944,0.5199063231850117,0.4859484777517564,0.5538641686182669,0.524,False
pooled,over,REFERENCE-LINE PROXY,854,0.2513583095839448,0.25,-0.0013583095839447834,0.6959183376598973,0.6931471805599453,-0.002771157099952015,0.03757041434015078,0.023419203747072626,0.5140515222482436,0.48009367681498827,0.5491803278688525,0.524,False
season_2022,home_win,REFERENCE-LINE PROXY,284,0.2236333106386041,0.20956065063070295,-0.014072660007901139,0.6361517549781955,0.6060724648971884,-0.03007929008100718,0.07923733320445031,0.04576723166122936,0.6126760563380281,0.5528169014084507,0.6690140845070423,0.524,True
season_2022,home_cover,REFERENCE-LINE PROXY,284,0.25162577992193474,0.25,-0.0016257799219347446,0.6966167246242594,0.6931471805599454,-0.0034695440643139897,0.038511953190171144,0.024647887323943685,0.5316901408450704,0.4753521126760563,0.5915492957746479,0.524,False
season_2022,over,REFERENCE-LINE PROXY,284,0.2470937382126434,0.25,0.00290626178735659,0.6873013991473228,0.6931471805599454,0.005845781412622597,0.011882300197229138,0.05985915492957744,0.5422535211267606,0.4859154929577465,0.5985915492957746,0.524,False
season_2023,home_win,REFERENCE-LINE PROXY,285,0.23977304853731551,0.21726300865313738,-0.02251003988417813,0.6716035467897746,0.6236129389715842,-0.04799060781819042,0.06542634265447964,0.036280581388051,0.5684210526315789,0.5087719298245614,0.6246491228070171,0.524,False
season_2023,home_cover,REFERENCE-LINE PROXY,285,0.24888997011856084,0.25,0.0011100298814391563,0.6909240025515451,0.6931471805599454,0.0022231780084003283,0.000434263291820447,0.026315789473684237,0.5263157894736842,0.47017543859649125,0.5859649122807018,0.524,False
season_2023,over,REFERENCE-LINE PROXY,285,0.24894822244132173,0.25,0.001051777558678274,0.6910658664568411,0.6931471805599454,0.0020813141031043036,0.021713767468561136,0.04385964912280704,0.5368421052631579,0.47719298245614034,0.5929824561403508,0.524,False
season_2024,home_win,REFERENCE-LINE PROXY,285,0.2255248564287388,0.20392537484337403,-0.02159948158536476,0.6417019577245308,0.5958540468580578,-0.045847910866472996,0.036409389160644866,0.08422336791097403,0.6280701754385964,0.5719298245614035,0.6807017543859649,0.524,True
season_2024,home_cover,REFERENCE-LINE PROXY,285,0.25005233316962333,0.25,-5.23331696233309e-05,0.6932465883606126,0.6931471805599454,-9.940780066719501e-05,0.03329927457239435,0.012280701754386003,0.5017543859649123,0.4421052631578947,0.5578947368421052,0.524,False
season_2024,over,REFERENCE-LINE PROXY,285,0.2580180046895489,0.25,-0.008018004689548885,0.7093575125035539,0.6931471805599454,-0.016210331943608547,0.081014250974938,0.033333333333333326,0.4631578947368421,0.4070175438596491,0.519298245614035,0.524,False
