segment,market,market_source,n,model_brier,market_brier,brier_gain_vs_market,model_log_loss,market_log_loss,log_loss_gain_vs_market,model_ece,market_ece,pick_accuracy,pick_accuracy_ci_lower,pick_accuracy_ci_upper,breakeven,beats_breakeven_ci
pooled,home_win,REFERENCE-LINE PROXY,1139,0.22586359486564858,0.21047900426010685,-0.015384590605541731,0.6412133456158927,0.6085218373922098,-0.03269150822368294,0.02427949843994372,0.03472032818331597,0.6119402985074627,0.5847234416154522,0.6409130816505707,0.524,True
pooled,home_cover,REFERENCE-LINE PROXY,1139,0.2509798569946005,0.25,-0.0009798569946005142,0.6951651030637982,0.6931471805599453,-0.002017922503852909,0.02895483829395898,0.00834064969271292,0.5004389815627743,0.47146619841966636,0.5285338015803336,0.524,False
pooled,over,REFERENCE-LINE PROXY,1139,0.2515683479935236,0.25,-0.0015683479935236222,0.6963332262861727,0.6931471805599453,-0.0031860457262273822,0.035133202349662676,0.012730465320456519,0.5127304653204565,0.48375768217734855,0.543459174714662,0.524,False
season_2022,home_win,REFERENCE-LINE PROXY,284,0.2236333106386041,0.20956065063070295,-0.014072660007901139,0.6361517549781955,0.6060724648971884,-0.03007929008100718,0.07923733320445031,0.04576723166122936,0.6126760563380281,0.5528169014084507,0.6690140845070423,0.524,True
season_2022,home_cover,REFERENCE-LINE PROXY,284,0.25162577992193474,0.25,-0.0016257799219347446,0.6966167246242594,0.6931471805599454,-0.0034695440643139897,0.03851195319017114,0.024647887323943685,0.5316901408450704,0.4753521126760563,0.5915492957746479,0.524,False
season_2022,over,REFERENCE-LINE PROXY,284,0.2470937382126434,0.25,0.00290626178735659,0.6873013991473228,0.6931471805599454,0.005845781412622597,0.011882300197229145,0.05985915492957744,0.5422535211267606,0.4859154929577465,0.5985915492957746,0.524,False
season_2023,home_win,REFERENCE-LINE PROXY,285,0.23977304853731551,0.21726300865313738,-0.02251003988417813,0.6716035467897746,0.6236129389715842,-0.04799060781819042,0.06542634265447962,0.036280581388051,0.5684210526315789,0.5087719298245614,0.6246491228070171,0.524,False
season_2023,home_cover,REFERENCE-LINE PROXY,285,0.24888997011856084,0.25,0.0011100298814391563,0.6909240025515451,0.6931471805599454,0.0022231780084003283,0.000434263291820447,0.026315789473684237,0.5263157894736842,0.47017543859649125,0.5859649122807018,0.524,False
season_2023,over,REFERENCE-LINE PROXY,285,0.24894822244132178,0.25,0.0010517775586782185,0.6910658664568411,0.6931471805599454,0.0020813141031043036,0.02171376746856108,0.04385964912280704,0.5368421052631579,0.47719298245614034,0.5929824561403508,0.524,False
season_2024,home_win,REFERENCE-LINE PROXY,285,0.2255248564287388,0.20392537484337403,-0.02159948158536476,0.6417019577245308,0.5958540468580578,-0.045847910866472996,0.0364093891606449,0.08422336791097403,0.6280701754385964,0.5719298245614035,0.6807017543859649,0.524,True
season_2024,home_cover,REFERENCE-LINE PROXY,285,0.25005233316962333,0.25,-5.23331696233309e-05,0.6932465883606126,0.6931471805599454,-9.940780066719501e-05,0.03329927457239435,0.012280701754386003,0.5017543859649123,0.4421052631578947,0.5578947368421052,0.524,False
season_2024,over,REFERENCE-LINE PROXY,285,0.2580180046895489,0.25,-0.008018004689548885,0.7093575125035539,0.6931471805599454,-0.016210331943608547,0.08101425097493796,0.033333333333333326,0.4631578947368421,0.4070175438596491,0.519298245614035,0.524,False
season_2025,home_win,REFERENCE-LINE PROXY,285,0.21451533829924446,0.21116376061977662,-0.0033515776794678376,0.6153783630039201,0.6085393045525522,-0.0068390584513678965,0.034283260287373184,0.025919947472633584,0.6385964912280702,0.5859649122807018,0.6947368421052632,0.524,True
season_2025,home_cover,REFERENCE-LINE PROXY,285,0.25335361116451927,0.25,-0.0033536111645192657,0.6998781901277599,0.6931471805599454,-0.006731009567814472,0.0784745250170101,0.0052631578947368585,0.4421052631578947,0.38596491228070173,0.4982456140350877,0.524,False
season_2025,over,REFERENCE-LINE PROXY,285,0.2521977262453843,0.25,-0.0021977262453842794,0.697576436415433,0.6931471805599454,-0.0044292558554875905,0.027830117999217915,0.019298245614035037,0.5087719298245614,0.44912280701754387,0.5649122807017544,0.524,False
