candidate,market_name,n,model_brier,market_brier,brier_gain_vs_market,model_log_loss,market_log_loss,log_loss_gain_vs_market,pick_accuracy,pick_accuracy_ci_lower,pick_accuracy_ci_upper,beats_breakeven_ci,promotion
C1_market_residual,moneyline,834,0.21136928591936632,0.20975317324784776,-0.0016161126715185659,0.6105296099959732,0.6073505042797815,-0.0031791057161916214,0.6726618705035972,0.6414868105515588,0.7050359712230215,True,RETAIN_BASELINE
C1_market_residual,ats,834,0.2511745920600711,0.25009737500060697,-0.0010772170594641195,0.6956172320040191,0.6933419414575199,-0.00227529054649922,0.5095923261390888,0.473621103117506,0.5443645083932853,False,RETAIN_BASELINE
C1_market_residual,total,834,0.25159863631550033,0.24996326966745402,-0.0016353666480463103,0.6963644822663096,0.693073716415,-0.003290765851309607,0.49160671462829736,0.4568345323741007,0.526378896882494,False,RETAIN_BASELINE
C2_gbm,moneyline,834,0.23883706399045923,0.20975317324784776,-0.029083890742611473,0.6963523110675686,0.6073505042797815,-0.08900180678778702,0.605515587529976,0.5719424460431655,0.6378896882494005,True,RETAIN_BASELINE
C2_gbm,ats,834,0.2568561645754745,0.25009737500060697,-0.00675878957486753,0.7352516452841119,0.6933419414575199,-0.04190970382659198,0.4940047961630695,0.4604016786570744,0.5287769784172662,False,RETAIN_BASELINE
C2_gbm,total,834,0.25877995431062106,0.24996326966745402,-0.008816684643167039,0.8081865219831338,0.693073716415,-0.11511280556813375,0.5251798561151079,0.49160671462829736,0.5599520383693045,False,RETAIN_BASELINE
C3_logistic,moneyline,834,0.21494295048331885,0.20975317324784776,-0.005189777235471094,0.6194846556950121,0.6073505042797815,-0.012134151415230554,0.670263788968825,0.6378896882494005,0.7038369304556354,True,RETAIN_BASELINE
C3_logistic,ats,834,0.25714627097280757,0.25009737500060697,-0.007048895972200597,0.708959025102985,0.6933419414575199,-0.015617083645465102,0.511990407673861,0.47721822541966424,0.5467625899280576,False,RETAIN_BASELINE
C3_logistic,total,834,0.25401997230953344,0.24996326966745402,-0.004056702642079413,0.7015799609818744,0.693073716415,-0.008506244566874321,0.486810551558753,0.45323741007194246,0.5215827338129496,False,RETAIN_BASELINE
C4_jointscore_epa,moneyline,834,0.2334149881866297,0.20975317324784776,-0.023661814938781944,0.6597571176118194,0.6073505042797815,-0.05240661333203789,0.6187050359712231,0.5851318944844125,0.6510791366906474,True,RETAIN_BASELINE
C4_jointscore_epa,ats,834,0.25079081905171946,0.25009737500060697,-0.0006934440511124906,0.6947289079555239,0.6933419414575199,-0.0013869664980039609,0.4940047961630695,0.4592326139088729,0.5299760191846523,False,RETAIN_BASELINE
C4_jointscore_epa,total,834,0.25111068599252756,0.24996326966745402,-0.0011474163250735359,0.6954093024946807,0.693073716415,-0.0023355860796806516,0.5227817745803357,0.48917865707434055,0.5563549160671463,False,RETAIN_BASELINE
C5_stacked,moneyline,834,0.2138729309740517,0.20975317324784776,-0.004119757726203932,0.6176925176766641,0.6073505042797815,-0.010342013396882566,0.6858513189448441,0.6546762589928058,0.7182254196642686,True,RETAIN_BASELINE
C5_stacked,ats,834,0.25012938609927815,0.25009737500060697,-3.201109867118079e-05,0.6934069527857338,0.6933419414575199,-6.501132821390421e-05,0.5107913669064749,0.47721822541966424,0.5443645083932853,False,RETAIN_BASELINE
C5_stacked,total,834,0.24993409634140626,0.24996326966745402,2.917332604776557e-05,0.6930188371407378,0.693073716415,5.4879274262287225e-05,0.5215827338129496,0.486810551558753,0.5563549160671463,False,RETAIN_BASELINE
