market,segment,readiness_status,log_loss_gain_vs_market,brier_gain_vs_market,pick_accuracy,pick_accuracy_ci_lower,beats_breakeven_ci,market_source
home_win,pooled,RETAIN_BASELINE,-0.03269150822368294,-0.015384590605541731,0.6119402985074627,0.5847234416154522,True,REFERENCE-LINE PROXY
home_cover,pooled,RETAIN_BASELINE,-0.002017922503852909,-0.0009798569946005142,0.5004389815627743,0.47146619841966636,False,REFERENCE-LINE PROXY
over,pooled,RETAIN_BASELINE,-0.0031860457262273822,-0.0015683479935236222,0.5127304653204565,0.48375768217734855,False,REFERENCE-LINE PROXY
