model,test_season,market,n,brier,log_loss,mae,rmse
joint_score,2018,moneyline,265,0.22249251623673094,0.6371671861465532,,
joint_score,2018,ats,259,0.2501931568008846,0.6935332637067635,,
joint_score,2018,total,264,0.25076020231692364,0.6947963522560665,,
joint_score,2018,moneyline_legacy_elo,265,0.2232733536675056,0.6350643494736865,,
joint_score,2018,ats_coin_flip,259,0.25,0.6931471805599453,,
joint_score,2018,total_coin_flip,264,0.25,0.6931471805599453,,
joint_score,2018,margin,267,,,10.225754113177977,13.279006020368112
joint_score,2018,margin_legacy_elo,267,,,10.294178735729147,13.426483908402282
joint_score,2018,points_total,267,,,10.895908545450276,13.831779250643866
joint_score,2018,points_total_legacy,267,,,11.668355664452303,15.295681043048733
joint_score,2019,moneyline,266,0.21341180948538868,0.6165379699092628,,
joint_score,2019,ats,258,0.24652714915280158,0.6861861119672991,,
joint_score,2019,total,265,0.25170890374565263,0.6965699364028437,,
joint_score,2019,moneyline_legacy_elo,266,0.22375824417070428,0.640190200088368,,
joint_score,2019,ats_coin_flip,258,0.25,0.6931471805599453,,
joint_score,2019,total_coin_flip,265,0.25,0.6931471805599453,,
joint_score,2019,margin,267,,,10.052902941978925,12.999604962849508
joint_score,2019,margin_legacy_elo,267,,,10.49919094937115,13.478020566453255
joint_score,2019,points_total,267,,,11.050105037769532,13.717757457520984
joint_score,2019,points_total_legacy,267,,,11.389092008460628,14.36205485961591
market_residual,2018,moneyline,265,0.21350060311384822,0.617348441576128,,
market_residual,2018,ats,259,0.25001855665620376,0.6931842958925214,,
market_residual,2018,total,264,0.24841467839389694,0.6899601626430799,,
market_residual,2018,moneyline_legacy_elo,265,0.2232733536675056,0.6350643494736865,,
market_residual,2018,ats_coin_flip,259,0.25,0.6931471805599453,,
market_residual,2018,total_coin_flip,264,0.25,0.6931471805599453,,
market_residual,2018,margin,267,,,9.890065940728832,13.035061664367525
market_residual,2018,margin_legacy_elo,267,,,10.294178735729147,13.426483908402282
market_residual,2018,points_total,267,,,10.668904144013828,13.57625684033273
market_residual,2018,points_total_legacy,267,,,11.668355664452303,15.295681043048733
market_residual,2019,moneyline,266,0.21584714465504895,0.62045338932427,,
market_residual,2019,ats,258,0.24769593351039484,0.6885348254355498,,
market_residual,2019,total,265,0.25339778469597307,0.7000524269306554,,
market_residual,2019,moneyline_legacy_elo,266,0.22375824417070428,0.640190200088368,,
market_residual,2019,ats_coin_flip,258,0.25,0.6931471805599453,,
market_residual,2019,total_coin_flip,265,0.25,0.6931471805599453,,
market_residual,2019,margin,267,,,10.170411985018726,13.053441006009805
market_residual,2019,margin_legacy_elo,267,,,10.49919094937115,13.478020566453255
market_residual,2019,points_total,267,,,10.892019837095589,13.570334128292954
market_residual,2019,points_total_legacy,267,,,11.389092008460628,14.36205485961591
market_anchor,2018,margin,267,,,9.868913857677903,13.00165647758195
market_anchor,2018,points_total,267,,,10.732209737827715,13.651185623009368
market_anchor,2019,margin,267,,,10.170411985018726,13.053441006009805
market_anchor,2019,points_total,267,,,10.797752808988765,13.405725759766511
