test_season,market,n,brier,log_loss,mae,rmse
2022,moneyline,284,0.2236333106386041,0.6361517549781955,,
2022,ats,284,0.25162577992193474,0.6966167246242594,,
2022,total,284,0.2470937382126434,0.6873013991473228,,
2022,moneyline_legacy_elo,284,0.20956065063070295,0.6060724648971884,,
2022,ats_coin_flip,284,0.25,0.6931471805599454,,
2022,total_coin_flip,284,0.25,0.6931471805599454,,
2022,margin,284,,,9.455075579484564,12.25061925314435
2022,margin_legacy_elo,284,,,8.783450704225352,11.487247981878998
2022,points_total,284,,,11.405556975236088,14.27545930353475
2022,points_total_legacy,284,,,10.397887323943662,13.212709950095482
2023,moneyline,285,0.23977304853731551,0.6716035467897746,,
2023,ats,285,0.24888997011856084,0.6909240025515451,,
2023,total,285,0.24894822244132178,0.6910658664568411,,
2023,moneyline_legacy_elo,285,0.21726300865313738,0.6236129389715842,,
2023,ats_coin_flip,285,0.25,0.6931471805599454,,
2023,total_coin_flip,285,0.25,0.6931471805599454,,
2023,margin,285,,,11.034539606582896,14.370704274801184
2023,margin_legacy_elo,285,,,9.98421052631579,13.173970880942838
2023,points_total,285,,,10.640027767059593,13.619084348066293
2023,points_total_legacy,285,,,10.16842105263158,13.0569602330066
2024,moneyline,285,0.2255248564287388,0.6417019577245308,,
2024,ats,285,0.25005233316962333,0.6932465883606126,,
2024,total,285,0.2580180046895489,0.7093575125035539,,
2024,moneyline_legacy_elo,285,0.20392537484337403,0.5958540468580578,,
2024,ats_coin_flip,285,0.25,0.6931471805599454,,
2024,total_coin_flip,285,0.25,0.6931471805599454,,
2024,margin,285,,,10.493157752070465,13.485487211463747
2024,margin_legacy_elo,285,,,9.703508771929824,12.72051113394316
2024,points_total,285,,,10.37970704889787,13.456684173617694
2024,points_total_legacy,285,,,9.76842105263158,12.586612213679416
2025,moneyline,285,0.21451533829924446,0.6153783630039201,,
2025,ats,285,0.25335361116451927,0.6998781901277599,,
2025,total,285,0.2521977262453843,0.697576436415433,,
2025,moneyline_legacy_elo,285,0.21116376061977662,0.6085393045525522,,
2025,ats_coin_flip,285,0.25,0.6931471805599454,,
2025,total_coin_flip,285,0.25,0.6931471805599454,,
2025,margin,285,,,9.82810351603309,12.4725410442052
2025,margin_legacy_elo,285,,,9.670175438596491,12.24479839439173
2025,points_total,285,,,10.715851761470862,13.66037903392461
2025,points_total_legacy,285,,,10.42280701754386,13.237274590960604
