segment,market,market_source,n,model_mae,market_mae,mae_gain_vs_market,fraction_model_beats_market
pooled,home_margin_regression,REFERENCE-LINE PROXY,1139,10.203375516996713,9.535996488147498,-0.667379028849215,0.4442493415276558
season_2022,home_margin_regression,REFERENCE-LINE PROXY,284,9.455075579484564,8.783450704225352,-0.6716248752592122,0.4753521126760563
season_2023,home_margin_regression,REFERENCE-LINE PROXY,285,11.034539606582896,9.98421052631579,-1.0503290802671064,0.3824561403508772
season_2024,home_margin_regression,REFERENCE-LINE PROXY,285,10.493157752070465,9.703508771929824,-0.7896489801406403,0.45964912280701753
season_2025,home_margin_regression,REFERENCE-LINE PROXY,285,9.82810351603309,9.670175438596491,-0.15792807743659942,0.45964912280701753
